Validation_Set,Topics,Alpha,Beta,Coherence
sentimen_bi_pos,7,0.31,0.31,0.39432075069873146
sentimen_bi_pos,7,0.31,0.61,0.3811396720004933
sentimen_bi_pos,7,0.31,0.9099999999999999,0.4013386150916324
sentimen_bi_pos,7,0.31,symmetric,0.37586890027026293
sentimen_bi_pos,7,0.61,0.01,0.3996336447952853
sentimen_bi_pos,7,0.61,0.31,0.40951931705675626
sentimen_bi_pos,7,0.61,0.61,0.4110151211582049
sentimen_bi_pos,7,0.61,0.9099999999999999,0.3958364558135325
sentimen_bi_pos,7,0.61,symmetric,0.4011301235216023
sentimen_bi_pos,7,0.9099999999999999,0.01,0.3704679270232246
sentimen_bi_pos,7,0.9099999999999999,0.31,0.3777330313566772
sentimen_bi_pos,7,0.9099999999999999,0.61,0.34666643539461856
sentimen_bi_pos,7,0.9099999999999999,0.9099999999999999,0.38365073242170405
sentimen_bi_pos,7,0.9099999999999999,symmetric,0.3521321960072824
sentimen_bi_pos,7,symmetric,0.01,0.36335735416698844
sentimen_bi_pos,7,symmetric,0.31,0.3602781380539644
sentimen_bi_pos,7,symmetric,0.61,0.3638710001437211
sentimen_bi_pos,7,symmetric,0.9099999999999999,0.37289368718670823
sentimen_bi_pos,7,symmetric,symmetric,0.3597389702054197
sentimen_bi_pos,7,asymmetric,0.01,0.32310807156662325
sentimen_bi_pos,7,asymmetric,0.31,0.3461269918902262
sentimen_bi_pos,7,asymmetric,0.61,0.3395160042208052
sentimen_bi_pos,7,asymmetric,0.9099999999999999,0.32641942522248774
sentimen_bi_pos,7,asymmetric,symmetric,0.3404078850956243
sentimen_bi_pos,8,0.01,0.01,0.36602315308193023
sentimen_bi_pos,8,0.01,0.31,0.3589810953514582
sentimen_bi_pos,8,0.01,0.61,0.3719529420095642
sentimen_bi_pos,8,0.01,0.9099999999999999,0.37643056586859036
sentimen_bi_pos,8,0.01,symmetric,0.3649913451374079
sentimen_bi_pos,8,0.31,0.01,0.3789968669154847
sentimen_bi_pos,8,0.31,0.31,0.40070373854824937
sentimen_bi_pos,8,0.31,0.61,0.39584124362689155
sentimen_bi_pos,8,0.31,0.9099999999999999,0.39476282879448943
sentimen_bi_pos,8,0.31,symmetric,0.3988913678712084
sentimen_bi_pos,8,0.61,0.01,0.4278573942707048
sentimen_bi_pos,8,0.61,0.31,0.4151459012137519
sentimen_bi_pos,8,0.61,0.61,0.4210964969171525
sentimen_bi_pos,8,0.61,0.9099999999999999,0.4093580289938892
sentimen_bi_pos,8,0.61,symmetric,0.4170934820309944
sentimen_bi_pos,8,0.9099999999999999,0.01,0.32944698117333926
sentimen_bi_pos,8,0.9099999999999999,0.31,0.3922004273713401
sentimen_bi_pos,8,0.9099999999999999,0.61,0.3946964980676935
sentimen_bi_pos,8,0.9099999999999999,0.9099999999999999,0.38861220734167384
sentimen_bi_pos,8,0.9099999999999999,symmetric,0.3402134976834287
sentimen_bi_pos,8,symmetric,0.01,0.35442322775857593
sentimen_bi_pos,8,symmetric,0.31,0.35489714538801587
sentimen_bi_pos,8,symmetric,0.61,0.36317136449003784
sentimen_bi_pos,8,symmetric,0.9099999999999999,0.38363378341130905
sentimen_bi_pos,8,symmetric,symmetric,0.35539491775261456
sentimen_bi_pos,8,asymmetric,0.01,0.3989435695183417
sentimen_bi_pos,8,asymmetric,0.31,0.42358042954306807
sentimen_bi_pos,8,asymmetric,0.61,0.4428754155610948
sentimen_bi_pos,8,asymmetric,0.9099999999999999,0.436914724501908
sentimen_bi_pos,8,asymmetric,symmetric,0.4049470205731827
sentimen_bi_pos,9,0.01,0.01,0.3439361870379954
sentimen_bi_pos,9,0.01,0.31,0.3551011944942534
sentimen_bi_pos,9,0.01,0.61,0.3572786289701463
sentimen_bi_pos,9,0.01,0.9099999999999999,0.35768997125444685
sentimen_bi_pos,9,0.01,symmetric,0.344735757010379
sentimen_bi_pos,9,0.31,0.01,0.38127257652510554
sentimen_bi_pos,9,0.31,0.31,0.3665099968864368
sentimen_bi_pos,9,0.31,0.61,0.36247928350866176
sentimen_bi_pos,9,0.31,0.9099999999999999,0.3466552116848788
sentimen_bi_pos,9,0.31,symmetric,0.34720759291671943
sentimen_bi_pos,9,0.61,0.01,0.32806909031506865
sentimen_bi_pos,9,0.61,0.31,0.3920231499325689
sentimen_bi_pos,9,0.61,0.61,0.38399945429735705
sentimen_bi_pos,9,0.61,0.9099999999999999,0.37676312558122443
sentimen_bi_pos,9,0.61,symmetric,0.39262115159002847
sentimen_bi_pos,9,0.9099999999999999,0.01,0.3447870846714801
sentimen_bi_pos,9,0.9099999999999999,0.31,0.38706425580823184
sentimen_bi_pos,9,0.9099999999999999,0.61,0.37601249820382376
sentimen_bi_pos,9,0.9099999999999999,0.9099999999999999,0.3625888033089329
sentimen_bi_pos,9,0.9099999999999999,symmetric,0.3256897304389653
sentimen_bi_pos,9,symmetric,0.01,0.34385103518607013
sentimen_bi_pos,9,symmetric,0.31,0.3211534739067269
sentimen_bi_pos,9,symmetric,0.61,0.309032207787898
sentimen_bi_pos,9,symmetric,0.9099999999999999,0.31860971348030886
sentimen_bi_pos,9,symmetric,symmetric,0.32937646435598444
sentimen_bi_pos,9,asymmetric,0.01,0.32204214112456897
sentimen_bi_pos,9,asymmetric,0.31,0.38902029950372086
sentimen_bi_pos,9,asymmetric,0.61,0.40276643818100855
sentimen_bi_pos,9,asymmetric,0.9099999999999999,0.4092854851654878
sentimen_bi_pos,9,asymmetric,symmetric,0.34025650170381067
sentimen_bi_pos,10,0.01,0.01,0.33985970409641636
sentimen_bi_pos,10,0.01,0.31,0.3556026920071581
sentimen_bi_pos,10,0.01,0.61,0.34756749401811643
sentimen_bi_pos,10,0.01,0.9099999999999999,0.38122837087658973
sentimen_bi_pos,10,0.01,symmetric,0.35091181922142417
sentimen_bi_pos,10,0.31,0.01,0.33983128107089555
sentimen_bi_pos,10,0.31,0.31,0.33603562215215205
sentimen_bi_pos,10,0.31,0.61,0.3498159126931038
sentimen_bi_pos,10,0.31,0.9099999999999999,0.3553998878867289
sentimen_bi_pos,10,0.31,symmetric,0.3396880910164599
sentimen_bi_pos,10,0.61,0.01,0.36313997866957576
sentimen_bi_pos,10,0.61,0.31,0.36635899208641537
sentimen_bi_pos,10,0.61,0.61,0.3463417710397668
sentimen_bi_pos,10,0.61,0.9099999999999999,0.3557055788419635
sentimen_bi_pos,10,0.61,symmetric,0.3526001857708968
sentimen_bi_pos,10,0.9099999999999999,0.01,0.3507955419227246
sentimen_bi_pos,10,0.9099999999999999,0.31,0.34388931521310706
sentimen_bi_pos,10,0.9099999999999999,0.61,0.3602426073937043
sentimen_bi_pos,10,0.9099999999999999,0.9099999999999999,0.3868376859800825
sentimen_bi_pos,10,0.9099999999999999,symmetric,0.3534581039734349
sentimen_bi_pos,10,symmetric,0.01,0.3354641820442621
sentimen_bi_pos,10,symmetric,0.31,0.31443185297099385
sentimen_bi_pos,10,symmetric,0.61,0.3187670682037697
sentimen_bi_pos,10,symmetric,0.9099999999999999,0.3354291157406796
sentimen_bi_pos,10,symmetric,symmetric,0.32946523675581607
sentimen_bi_pos,10,asymmetric,0.01,0.3517128506615868
sentimen_bi_pos,10,asymmetric,0.31,0.3625153417723401
sentimen_bi_pos,10,asymmetric,0.61,0.37027777135229323
sentimen_bi_pos,10,asymmetric,0.9099999999999999,0.3788864723593724
sentimen_bi_pos,10,asymmetric,symmetric,0.3504103018744559
